Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q12746	protein transport [GO:0015031]	cytochrome-b5 reductase activity, acting on NAD(P)H [GO:0004128]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P33400	ascospore formation [GO:0030437]; cellular response to alkaline pH [GO:0071469]; cellular response to anoxia [GO:0071454]; fungal-type cell wall biogenesis [GO:0009272]; meiotic cell cycle [GO:0051321]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of division septum assembly [GO:0010973]; positive regulation of transcription by RNA polymerase II [GO:0045944]	DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q06149	positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription, DNA-templated [GO:0006351]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53237	positive regulation of GTPase activity [GO:0043547]; positive regulation of TORC1 signaling [GO:1904263]		cytoplasm [GO:0005737]; cytosol [GO:0005829]; Lst4-Lst7 complex [GO:1990877]; vacuolar membrane [GO:0005774]
P53145	ribosomal large subunit assembly [GO:0000027]; ribosomal subunit export from nucleus [GO:0000054]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; mRNA binding [GO:0003729]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; mating projection tip [GO:0043332]
P40495	lysine biosynthetic process [GO:0009085]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	homoisocitrate dehydrogenase activity [GO:0047046]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	mitochondrion [GO:0005739]
Q99278	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]	TFIIH-class transcription factor complex binding [GO:0001097]; transcription coactivator activity [GO:0003713]	core mediator complex [GO:0070847]; mediator complex [GO:0016592]
P22134	base-excision repair, AP site formation [GO:0006285]; DNA dealkylation involved in DNA repair [GO:0006307]	alkylated DNA binding [GO:0032131]; alkylbase DNA N-glycosylase activity [GO:0003905]; damaged DNA binding [GO:0003684]; DNA-3-methyladenine glycosylase activity [GO:0008725]; DNA-3-methylguanine glycosylase activity [GO:0052822]; DNA-7-methyladenine glycosylase activity [GO:0052821]; DNA-7-methylguanine glycosylase activity [GO:0043916]	nucleus [GO:0005634]; protein-DNA complex [GO:0032993]
P32569	positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription initiation from RNA polymerase II promoter [GO:0006367]	activating transcription factor binding [GO:0033613]; RNA polymerase II complex recruiting activity [GO:0001139]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription coregulator activity [GO:0003712]	core mediator complex [GO:0070847]; mediator complex [GO:0016592]
P32487	amino acid transmembrane transport [GO:0003333]; basic amino acid transport [GO:0015802]	amino acid transmembrane transporter activity [GO:0015171]; basic amino acid transmembrane transporter activity [GO:0015174]	eisosome [GO:0032126]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
P38286	fatty acid elongation [GO:0030497]; sphingolipid biosynthetic process [GO:0030148]; very long-chain fatty acid biosynthetic process [GO:0042761]	3-oxo-arachidoyl-CoA reductase activity [GO:0102339]; 3-oxo-behenoyl-CoA reductase activity [GO:0102340]; 3-oxo-cerotoyl-CoA reductase activity [GO:0102342]; 3-oxo-lignoceroyl-CoA reductase activity [GO:0102341]; ketoreductase activity [GO:0045703]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q03649	cellular lipid metabolic process [GO:0044255]; medium-chain fatty acid biosynthetic process [GO:0051792]; medium-chain fatty acid catabolic process [GO:0051793]; triglyceride metabolic process [GO:0006641]	acetylesterase activity [GO:0008126]; acylglycerol lipase activity [GO:0047372]; transferase activity, transferring acyl groups [GO:0016746]; triglyceride lipase activity [GO:0004806]	
P53159	karyogamy [GO:0000741]; protein localization to spindle pole body [GO:0071988]; spindle pole body duplication [GO:0030474]	cytoskeleton-nuclear membrane anchor activity [GO:0140444]; structural molecule activity [GO:0005198]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; meiotic nuclear membrane microtubule tethering complex [GO:0034993]; nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; spindle pole body [GO:0005816]
P53745	protein O-linked glycosylation [GO:0006493]	alpha-1,3-mannosyltransferase activity [GO:0000033]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
P53869			mitochondrion [GO:0005739]
P32829	ascospore formation [GO:0030437]; base-excision repair [GO:0006284]; DNA double-strand break processing involved in repair via synthesis-dependent strand annealing [GO:0010791]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; double-strand break repair via break-induced replication [GO:0000727]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; intra-S DNA damage checkpoint [GO:0031573]; maintenance of DNA trinucleotide repeats [GO:0035753]; meiotic DNA double-strand break formation [GO:0042138]; meiotic DNA double-strand break formation involved in reciprocal meiotic recombination [GO:0010780]; meiotic DNA double-strand break processing [GO:0000706]; mitochondrial double-strand break repair via homologous recombination [GO:0097552]; mitotic G2 DNA damage checkpoint [GO:0007095]; nucleoside monophosphate phosphorylation [GO:0046940]; reciprocal meiotic recombination [GO:0007131]; regulation of transcription involved in meiotic cell cycle [GO:0051037]; telomere maintenance [GO:0000723]	3'-5'-exodeoxyribonuclease activity [GO:0008296]; 3'-5' exonuclease activity [GO:0008408]; double-stranded telomeric DNA binding [GO:0003691]; endodeoxyribonuclease activity [GO:0004520]; endonuclease activity [GO:0004519]; G-quadruplex DNA binding [GO:0051880]; manganese ion binding [GO:0030145]; molecular adaptor activity [GO:0060090]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; single-stranded telomeric DNA binding [GO:0043047]; telomeric DNA binding [GO:0042162]	mitochondrion [GO:0005739]; Mre11 complex [GO:0030870]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
P22148	positive regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0060963]; positive regulation of transcription by RNA polymerase II [GO:0045944]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40029	cellular response to oxidative stress [GO:0034599]	L-methionine-(S)-S-oxide reductase activity [GO:0036456]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q06512	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; ribosomal small subunit biogenesis [GO:0042274]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]		90S preribosome [GO:0030686]; cytosol [GO:0005829]; Noc4p-Nop14p complex [GO:0030692]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]
P53898	sterol biosynthetic process [GO:0016126]	unfolded protein binding [GO:0051082]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P41543	protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]		endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; oligosaccharyltransferase complex [GO:0008250]
P19262	2-oxoglutarate metabolic process [GO:0006103]; L-lysine catabolic process to acetyl-CoA via saccharopine [GO:0033512]; tricarboxylic acid cycle [GO:0006099]	dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]	mitochondrial nucleoid [GO:0042645]; mitochondrial oxoglutarate dehydrogenase complex [GO:0009353]; mitochondrion [GO:0005739]
Q07987	fungal-type cell wall organization [GO:0031505]	structural constituent of cell wall [GO:0005199]	extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]
P10963	gluconeogenesis [GO:0006094]	ATP binding [GO:0005524]; phosphoenolpyruvate carboxykinase (ATP) activity [GO:0004612]	cytosol [GO:0005829]
P25644	cell cycle [GO:0007049]; cell division [GO:0051301]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; formation of translation preinitiation complex [GO:0001731]; mRNA processing [GO:0006397]; negative regulation of translational initiation [GO:0045947]; P-body assembly [GO:0033962]; regulation of translational initiation [GO:0006446]	chromatin binding [GO:0003682]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosolic small ribosomal subunit [GO:0022627]; kinetochore [GO:0000776]; Lsm1-7-Pat1 complex [GO:1990726]; nucleus [GO:0005634]; P-body [GO:0000932]
Q04370	protein import into peroxisome matrix [GO:0016558]; protein monoubiquitination [GO:0006513]	protein C-terminus binding [GO:0008022]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	integral component of peroxisomal membrane [GO:0005779]; peroxisomal importomer complex [GO:1990429]
P22943	cell adhesion [GO:0007155]; cellular response to heat [GO:0034605]; cellular response to osmotic stress [GO:0071470]; cellular response to oxidative stress [GO:0034599]; plasma membrane organization [GO:0007009]	lipid binding [GO:0008289]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q08109	endoplasmic reticulum unfolded protein response [GO:0030968]; fungal-type cell wall organization [GO:0031505]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; Hrd1p ubiquitin ligase ERAD-M complex [GO:0000838]; integral component of membrane [GO:0016021]
P00724	fructan catabolic process [GO:0010147]; inulin catabolic process [GO:1902927]; raffinose catabolic process [GO:0034484]; sucrose catabolic process [GO:0005987]	beta-fructofuranosidase activity [GO:0004564]; inulinase activity [GO:0051670]; sucrose alpha-glucosidase activity [GO:0004575]	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]
P21374	generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA 3'-splice site recognition [GO:0000389]		catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; post-mRNA release spliceosomal complex [GO:0071014]; post-spliceosomal complex [GO:0071020]; Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]
P26798	phospholipid biosynthetic process [GO:0008654]; positive regulation of transcription by RNA polymerase II [GO:0045944]	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]	nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
Q12271	endocytosis [GO:0006897]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol dephosphorylation [GO:0046856]; protein transport [GO:0015031]	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity [GO:0043813]; phosphatidylinositol-3-phosphatase activity [GO:0004438]; phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity [GO:0004439]; phosphatidylinositol-4-phosphate phosphatase activity [GO:0043812]	actin cortical patch [GO:0030479]; cytoplasm [GO:0005737]; membrane [GO:0016020]
P53941	ribosomal small subunit biogenesis [GO:0042274]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]	rRNA primary transcript binding [GO:0042134]; single-stranded telomeric DNA binding [GO:0043047]; snoRNA binding [GO:0030515]	90S preribosome [GO:0030686]; Mpp10 complex [GO:0034457]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]
P46972	mitochondrial respiratory chain complex assembly [GO:0033108]; protein processing involved in protein targeting to mitochondrion [GO:0006627]; signal peptide processing [GO:0006465]	endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]	integral component of membrane [GO:0016021]; mitochondrial inner membrane peptidase complex [GO:0042720]
P07170	ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; DNA replication initiation [GO:0006270]; nucleotide metabolic process [GO:0009117]	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
Q06346	inositol phosphoceramide metabolic process [GO:0006673]	inositol phosphoceramide synthase regulator activity [GO:0070917]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; inositol phosphoceramide synthase complex [GO:0070916]; integral component of Golgi membrane [GO:0030173]
P28743	cell cycle [GO:0007049]; cell division [GO:0051301]; microtubule-based movement [GO:0007018]; microtubule polymerization [GO:0046785]; negative regulation of microtubule depolymerization [GO:0007026]; nuclear migration along microtubule [GO:0030473]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]	cortical microtubule plus-end [GO:1903754]; cytoplasmic microtubule [GO:0005881]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; spindle pole body [GO:0005816]
Q06324	cell cycle [GO:0007049]; cell division [GO:0051301]; mitochondrion inheritance [GO:0000001]		cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; incipient cellular bud site [GO:0000131]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P25389	budding cell bud growth [GO:0007117]; intracellular signal transduction [GO:0035556]; morphogenesis checkpoint [GO:0044879]; protein phosphorylation [GO:0006468]; regulation of cell shape [GO:0008360]; septin ring assembly [GO:0000921]	ATP binding [GO:0005524]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylserine binding [GO:0001786]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	cellular bud neck [GO:0005935]; cellular bud neck septin collar [GO:0032174]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; septin ring [GO:0005940]
P42834	protein import into mitochondrial matrix [GO:0030150]	ATPase activator activity [GO:0001671]	mitochondrial inner membrane [GO:0005743]; PAM complex, Tim23 associated import motor [GO:0001405]
P40065	homologous chromosome segregation [GO:0045143]; meiotic chromosome segregation [GO:0045132]; meiotic sister chromatid cohesion involved in meiosis I [GO:0010789]; monopolar spindle attachment to meiosis I kinetochore [GO:0051455]; regulation of protein kinase activity [GO:0045859]		condensed nuclear chromosome kinetochore [GO:0000778]; monopolin complex [GO:0033551]
Q06820	mitochondrial fission [GO:0000266]; mitochondrion inheritance [GO:0000001]; mitochondrion localization [GO:0051646]; mitochondrion organization [GO:0007005]		cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P14908	methylation [GO:0032259]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; transcription initiation from mitochondrial promoter [GO:0006391]	DNA binding [GO:0003677]; methyltransferase activity [GO:0008168]; mitochondrial transcription factor activity [GO:0034246]; RNA binding [GO:0003723]	mitochondrial DNA-directed RNA polymerase complex [GO:0034245]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P40477	ncRNA export from nucleus [GO:0097064]; NLS-bearing protein import into nucleus [GO:0006607]; nuclear pore localization [GO:0051664]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein export from nucleus [GO:0006611]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]; selective autophagy [GO:0061912]	adenyl-nucleotide exchange factor activity [GO:0000774]; structural constituent of nuclear pore [GO:0017056]; transcription corepressor activity [GO:0003714]	nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore central transport channel [GO:0044613]; nuclear pore cytoplasmic filaments [GO:0044614]; nucleus [GO:0005634]
Q08485	5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport [GO:1903088]; nicotinamide riboside transport [GO:0034258]; nucleobase transport [GO:0015851]; thiamine transport [GO:0015888]	5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transporter activity [GO:1903089]; nicotinamide riboside transmembrane transporter activity [GO:0034257]; nucleobase transmembrane transporter activity [GO:0015205]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P36129			
P37304	pseudohyphal growth [GO:0007124]		cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cytoplasm [GO:0005737]
Q12680	ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]; L-glutamate biosynthetic process [GO:0097054]	3 iron, 4 sulfur cluster binding [GO:0051538]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; glutamate synthase (NADH) activity [GO:0016040]; glutamate synthase activity [GO:0015930]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]	mitochondrion [GO:0005739]
P50945	cristae formation [GO:0042407]; protein-containing complex subunit organization [GO:0043933]		MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P40577	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; deactivation of mitotic spindle assembly checkpoint [GO:1902426]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of anaphase-promoting complex-dependent catabolic process [GO:1905785]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; positive regulation of protein autoubiquitination [GO:1902499]; protein ubiquitination [GO:0016567]; reciprocal meiotic recombination [GO:0007131]; regulation of mitotic metaphase/anaphase transition [GO:0030071]	ubiquitin ligase inhibitor activity [GO:1990948]	anaphase-promoting complex [GO:0005680]; nucleus [GO:0005634]
Q08750	ascospore wall assembly [GO:0030476]; phospholipid biosynthetic process [GO:0008654]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; transferase activity, transferring acyl groups [GO:0016746]	endomembrane system [GO:0012505]; integral component of membrane [GO:0016021]
Q00539	mRNA splice site selection [GO:0006376]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]	mRNA binding [GO:0003729]	commitment complex [GO:0000243]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
Q02820	protein secretion [GO:0009306]		cytosol [GO:0005829]; integral component of membrane [GO:0016021]
Q12200	sphingolipid metabolic process [GO:0006665]; sterol transport [GO:0015918]	sterol binding [GO:0032934]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]
P53617	antisense RNA transcript catabolic process [GO:0071041]; CUT catabolic process [GO:0071034]; mRNA 3'-end processing [GO:0031124]; mRNA splicing, via spliceosome [GO:0000398]; nuclear mRNA surveillance [GO:0071028]; sno(s)RNA 3'-end processing [GO:0031126]; snRNA 3'-end processing [GO:0034472]; termination of RNA polymerase II transcription, exosome-dependent [GO:0030847]; tRNA 3'-end processing [GO:0042780]	mRNA binding [GO:0003729]; nucleic acid binding [GO:0003676]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; transcription regulatory region RNA binding [GO:0001068]	Nrd1 complex [GO:0035649]; nucleus [GO:0005634]
P38738			cytoplasm [GO:0005737]
P38155	fungal-type cell wall organization [GO:0031505]	structural constituent of cell wall [GO:0005199]	extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P32854	cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; Golgi to vacuole transport [GO:0006896]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; vacuole inheritance [GO:0000011]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	endomembrane system [GO:0012505]; endosome [GO:0005768]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]
P04911	chromatin assembly or disassembly [GO:0006333]; chromatin silencing [GO:0006342]; DNA repair [GO:0006281]; negative regulation of transcription by RNA polymerase II [GO:0000122]; transfer RNA gene-mediated silencing [GO:0061587]	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	nucleosome [GO:0000786]; replication fork protection complex [GO:0031298]
P14681	cell cycle [GO:0007049]; intracellular signal transduction [GO:0035556]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; positive regulation of division septum assembly [GO:0010973]; protein phosphorylation [GO:0006468]; signal transduction involved in filamentous growth [GO:0001402]	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; transcription factor binding [GO:0008134]	cellular bud neck [GO:0005935]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; periplasmic space [GO:0042597]
P41318	establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; fungal-type cell wall organization [GO:0031505]; mitochondria-nucleus signaling pathway [GO:0031930]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell growth [GO:0001558]; signal transduction [GO:0007165]; TOR signaling [GO:0031929]	protein kinase activator activity [GO:0030295]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; Golgi membrane [GO:0000139]; nuclear periphery [GO:0034399]; TORC1 complex [GO:0031931]; TORC2 complex [GO:0031932]; vacuolar membrane [GO:0005774]
P39014	cysteine biosynthetic process [GO:0019344]; G1/S transition of mitotic cell cycle [GO:0000082]; methionine biosynthetic process [GO:0009086]; protein polyubiquitination [GO:0000209]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; response to arsenic-containing substance [GO:0046685]; response to cadmium ion [GO:0046686]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	identical protein binding [GO:0042802]; ubiquitin binding [GO:0043130]	cytoplasm [GO:0005737]; nuclear SCF ubiquitin ligase complex [GO:0043224]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]
Q96VH5	cristae formation [GO:0042407]; membrane organization [GO:0061024]		MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P24720	Group I intron splicing [GO:0000372]; mitochondrial mRNA processing [GO:0090615]		cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ribonucleoprotein complex [GO:1990904]
P53129	autophagy [GO:0006914]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; macroautophagy [GO:0016236]; positive regulation of GTPase activity [GO:0043547]; protein targeting to vacuolar membrane [GO:0044395]; protein targeting to vacuole [GO:0006623]; vesicle docking [GO:0048278]	phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidylserine binding [GO:0001786]	cytosol [GO:0005829]; endosome [GO:0005768]; fungal-type vacuole membrane [GO:0000329]; Mon1-Ccz1 complex [GO:0035658]; multivesicular body membrane [GO:0032585]
P38888	carbohydrate metabolic process [GO:0005975]; endoplasmic reticulum mannose trimming [GO:1904380]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]; protein alpha-1,2-demannosylation [GO:0036508]; protein glycosylation [GO:0006486]; response to unfolded protein [GO:0006986]; ubiquitin-dependent glycoprotein ERAD pathway [GO:0097466]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum quality control compartment [GO:0044322]; membrane [GO:0016020]
P53944	translational readthrough [GO:0006451]	protein-(glutamine-N5) methyltransferase activity [GO:0102559]; protein methyltransferase activity [GO:0008276]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	mitochondrion [GO:0005739]
Q02046	folic acid-containing compound biosynthetic process [GO:0009396]; one-carbon metabolic process [GO:0006730]; purine nucleobase biosynthetic process [GO:0009113]; purine nucleotide biosynthetic process [GO:0006164]	methylenetetrahydrofolate dehydrogenase (NAD+) activity [GO:0004487]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]	cytosol [GO:0005829]; nucleus [GO:0005634]
P36010	cellular response to DNA damage stimulus [GO:0006974]; CTP biosynthetic process [GO:0006241]; DNA repair [GO:0006281]; GTP biosynthetic process [GO:0006183]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside triphosphate biosynthetic process [GO:0009142]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P47035	cell cycle [GO:0007049]; cell division [GO:0051301]; negative regulation of exit from mitosis [GO:0001100]; negative regulation of septation initiation signaling [GO:0031030]; nucleolus organization [GO:0007000]; positive regulation of protein localization to nucleolus [GO:1904751]; rDNA heterochromatin assembly [GO:0000183]	phosphatase activator activity [GO:0019211]; protein phosphatase inhibitor activity [GO:0004864]; rDNA binding [GO:0000182]	nucleolus [GO:0005730]; RENT complex [GO:0030869]
P40165	nicotinamide nucleotide metabolic process [GO:0046496]	metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P53397	base-excision repair, AP site formation [GO:0006285]; DNA repair [GO:0006281]; error-free translesion synthesis [GO:0070987]; nucleotide-excision repair [GO:0006289]; telomere maintenance via telomerase [GO:0007004]	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]	mitochondrion [GO:0005739]; nucleus [GO:0005634]
